num_tables,hash_size,build_time,avg_query_time_ms,recall_at_10,total_memory_mb,avg_bucket_size,total_buckets
5,8,1.5939147472381592,39.95675468444824,100.0,548.2101440429688,356.41547861507127,982
5,10,1.9079878330230713,24.169034004211426,100.0,548.2101440429688,172.32890201870998,2031
5,12,2.122933864593506,22.724085807800293,100.0,548.2101440429688,90.9090909090909,3850
5,14,2.3250088691711426,18.712016105651855,100.0,548.2101440429688,58.86310124453414,5946
5,16,2.531226873397827,15.179368019104004,100.0,548.2101440429688,31.415492325644017,11141
10,8,3.252086877822876,42.079740047454834,100.0,549.5452880859375,377.7657852131678,1853
10,10,3.6974098682403564,32.09239053726196,100.0,549.5452880859375,169.04129437333978,4141
10,12,4.131616115570068,31.610932350158688,100.0,549.5452880859375,76.40253219821,9162
10,14,4.694236755371094,30.45646047592163,100.0,549.5452880859375,52.94206625321434,13222
10,16,5.105177879333496,21.558236122131348,100.0,549.5452880859375,31.94888178913738,21910
15,8,4.765246868133545,60.34422206878662,100.0,550.8804321289062,397.27582292849036,2643
15,10,5.475758790969849,28.278006076812744,100.0,550.8804321289062,165.2762474421533,6353
15,12,6.149631977081299,24.256237983703613,100.0,550.8804321289062,81.69298996343267,12853
15,14,6.785477876663208,36.49595403671265,100.0,550.8804321289062,51.36986301369863,20440
15,16,7.445596933364868,28.029126167297363,100.0,550.8804321289062,32.645193383907475,32164
20,8,6.298095226287842,56.68737983703613,100.0,552.215576171875,386.42009384487994,3623
20,10,7.370813846588135,39.92858028411865,100.0,552.215576171875,181.2767059432863,7723
20,12,8.331318855285645,34.42316198348999,100.0,552.215576171875,91.7130691123485,15265
20,14,9.763095140457153,42.27668619155884,100.0,552.215576171875,55.74801895432645,25113
20,16,10.639530897140503,31.09271001815796,100.0,552.215576171875,34.12386964681795,41027
25,8,7.936891078948975,62.58649778366089,100.0,553.5507202148438,379.28045080190725,4614
25,10,9.340929985046387,44.6262640953064,100.0,553.5507202148438,168.12373907195695,10409
25,12,10.72226095199585,38.84747362136841,100.0,553.5507202148438,85.53692751356371,20459
25,14,11.725072860717773,35.40879821777344,100.0,553.5507202148438,52.9404646660213,33056
25,16,12.78538179397583,36.32906436920166,100.0,553.5507202148438,34.11838103407939,51292
30,8,9.484903812408447,58.16437816619873,100.0,554.8858642578125,414.9377593360996,5061
30,10,10.926697015762329,31.584993839263912,100.0,554.8858642578125,160.73478760045924,13065
30,12,12.451897859573364,28.628620147705078,100.0,554.8858642578125,84.08071748878923,24976
30,14,13.968998908996582,34.76150608062744,100.0,554.8858642578125,51.670685497760935,40642
30,16,15.737918853759766,34.69111633300781,100.0,554.8858642578125,33.84640180514143,62045
