pca_dim,nlist,nprobe,k,label,precision_at_k_macro,recall_at_k_macro
0,32,1,20,0,1.0,0.006605019815059446
0,32,1,20,2,1.0,0.0066688896298766264
0,32,1,20,3,1.0,0.006715916722632638
0,32,1,20,4,1.0,0.006736274840013476
0,32,1,20,6,1.0,0.006609385327164575
0,32,4,20,0,1.0,0.006605019815059446
0,32,4,20,2,1.0,0.0066688896298766264
0,32,4,20,3,1.0,0.006715916722632638
0,32,4,20,4,1.0,0.006736274840013476
0,32,4,20,6,1.0,0.006609385327164575
0,32,8,20,0,1.0,0.006605019815059446
0,32,8,20,2,1.0,0.0066688896298766264
0,32,8,20,3,1.0,0.006715916722632638
0,32,8,20,4,1.0,0.006736274840013476
0,32,8,20,6,1.0,0.006609385327164575
0,32,16,20,0,1.0,0.006605019815059446
0,32,16,20,2,1.0,0.0066688896298766264
0,32,16,20,3,1.0,0.006715916722632638
0,32,16,20,4,1.0,0.006736274840013476
0,32,16,20,6,1.0,0.006609385327164575
0,32,32,20,0,1.0,0.006605019815059446
0,32,32,20,2,1.0,0.0066688896298766264
0,32,32,20,3,1.0,0.006715916722632638
0,32,32,20,4,1.0,0.006736274840013476
0,32,32,20,6,1.0,0.006609385327164575
0,64,1,20,0,1.0,0.006605019815059446
0,64,1,20,2,1.0,0.0066688896298766264
0,64,1,20,3,1.0,0.006715916722632638
0,64,1,20,4,1.0,0.006736274840013476
0,64,1,20,6,1.0,0.006609385327164575
0,64,4,20,0,1.0,0.006605019815059446
0,64,4,20,2,1.0,0.0066688896298766264
0,64,4,20,3,1.0,0.006715916722632638
0,64,4,20,4,1.0,0.006736274840013476
0,64,4,20,6,1.0,0.006609385327164575
0,64,8,20,0,1.0,0.006605019815059446
0,64,8,20,2,1.0,0.0066688896298766264
0,64,8,20,3,1.0,0.006715916722632638
0,64,8,20,4,1.0,0.006736274840013476
0,64,8,20,6,1.0,0.006609385327164575
0,64,16,20,0,1.0,0.006605019815059446
0,64,16,20,2,1.0,0.0066688896298766264
0,64,16,20,3,1.0,0.006715916722632638
0,64,16,20,4,1.0,0.006736274840013476
0,64,16,20,6,1.0,0.006609385327164575
0,64,32,20,0,1.0,0.006605019815059446
0,64,32,20,2,1.0,0.0066688896298766264
0,64,32,20,3,1.0,0.006715916722632638
0,64,32,20,4,1.0,0.006736274840013476
