pca_dim,nlist,nprobe,k,build_time_s,query_time_ms,index_size_mb,vector_recall_at_k,label_precision_at_k_micro,label_recall_at_k_micro,n_query
0,256,1,20,2.5282,0.055,439.93,0.1577,1.0,0.0036,14000
0,256,4,20,2.4699,0.186,439.93,0.506,1.0,0.0036,14000
0,256,8,20,2.2495,0.322,439.93,0.7757,1.0,0.0036,14000
0,256,16,20,2.7658,0.409,439.93,0.9675,1.0,0.0036,14000
0,256,32,20,2.5634,0.664,439.93,0.9995,1.0,0.0036,14000
0,512,1,20,2.7084,0.046,441.93,0.1304,1.0,0.0036,14000
0,512,4,20,3.2137,0.157,441.93,0.4099,1.0,0.0036,14000
0,512,8,20,2.9133,0.24,441.93,0.642,1.0,0.0036,14000
0,512,16,20,3.206,0.334,441.93,0.8575,1.0,0.0036,14000
0,512,32,20,2.8965,0.406,441.93,0.9799,1.0,0.0036,14000
0,1024,1,20,4.0984,0.041,445.94,0.1128,1.0,0.0036,14000
0,1024,4,20,3.7707,0.138,445.94,0.3533,1.0,0.0036,14000
0,1024,8,20,4.0645,0.202,445.94,0.5466,1.0,0.0036,14000
0,1024,16,20,3.8129,0.299,445.94,0.7437,1.0,0.0036,14000
0,1024,32,20,3.8258,0.378,445.94,0.8996,1.0,0.0036,14000
64,256,1,20,5.7334,0.002,30.68,0.0097,1.0,0.0036,14000
64,256,4,20,5.5941,0.003,30.68,0.0117,1.0,0.0036,14000
64,256,8,20,5.5936,0.004,30.68,0.0126,1.0,0.0036,14000
64,256,16,20,5.4382,0.005,30.68,0.0129,1.0,0.0036,14000
64,256,32,20,5.7507,0.009,30.68,0.0131,1.0,0.0036,14000
64,512,1,20,5.7978,0.002,30.74,0.0095,0.9997,0.0036,14000
64,512,4,20,5.7978,0.003,30.74,0.0115,1.0,0.0036,14000
64,512,8,20,5.8895,0.003,30.74,0.012,1.0,0.0036,14000
64,512,16,20,5.8647,0.004,30.74,0.0125,1.0,0.0036,14000
64,512,32,20,6.3852,0.006,30.74,0.013,1.0,0.0036,14000
64,1024,1,20,6.2943,0.004,30.87,0.0089,0.9982,0.0036,14000
64,1024,4,20,6.3023,0.002,30.87,0.011,1.0,0.0036,14000
64,1024,8,20,6.2109,0.004,30.87,0.0118,1.0,0.0036,14000
64,1024,16,20,5.9099,0.004,30.87,0.0126,1.0,0.0036,14000
64,1024,32,20,5.9061,0.004,30.87,0.013,1.0,0.0036,14000
128,256,1,20,5.6306,0.002,44.91,0.0132,0.9999,0.0036,14000
128,256,4,20,6.3215,0.005,44.91,0.0164,1.0,0.0036,14000
128,256,8,20,5.7864,0.007,44.91,0.0173,1.0,0.0036,14000
128,256,16,20,5.9588,0.013,44.91,0.0177,1.0,0.0036,14000
128,256,32,20,5.5436,0.021,44.91,0.0179,1.0,0.0036,14000
128,512,1,20,5.5275,0.002,45.04,0.0123,0.9996,0.0036,14000
128,512,4,20,5.5049,0.003,45.04,0.0155,1.0,0.0036,14000
128,512,8,20,5.5758,0.004,45.04,0.0167,1.0,0.0036,14000
128,512,16,20,5.9002,0.01,45.04,0.0173,1.0,0.0036,14000
128,512,32,20,5.8424,0.016,45.04,0.0175,1.0,0.0036,14000
128,1024,1,20,6.0083,0.003,45.3,0.0114,0.9981,0.0036,14000
128,1024,4,20,6.0201,0.003,45.3,0.0152,1.0,0.0036,14000
128,1024,8,20,5.9621,0.005,45.3,0.0161,1.0,0.0036,14000
128,1024,16,20,6.7752,0.008,45.3,0.0167,1.0,0.0036,14000
128,1024,32,20,5.979,0.01,45.3,0.0174,1.0,0.0036,14000
256,256,1,20,5.7684,0.004,73.38,0.0177,0.9998,0.0036,14000
256,256,4,20,6.0935,0.011,73.38,0.0203,1.0,0.0036,14000
256,256,8,20,5.7306,0.018,73.38,0.0225,1.0,0.0036,14000
256,256,16,20,5.5966,0.039,73.38,0.0242,1.0,0.0036,14000
256,256,32,20,5.7868,0.068,73.38,0.0247,1.0,0.0036,14000
256,512,1,20,6.4345,0.004,73.64,0.0168,0.9997,0.0036,14000
256,512,4,20,6.1611,0.007,73.64,0.0198,1.0,0.0036,14000
256,512,8,20,5.997,0.013,73.64,0.0215,1.0,0.0036,14000
256,512,16,20,5.9355,0.026,73.64,0.0231,1.0,0.0036,14000
256,512,32,20,5.7757,0.045,73.64,0.0245,1.0,0.0036,14000
256,1024,1,20,6.0705,0.003,74.14,0.0163,0.9992,0.0036,14000
256,1024,4,20,6.185,0.006,74.14,0.0201,1.0,0.0036,14000
256,1024,8,20,6.4543,0.01,74.14,0.0214,1.0,0.0036,14000
256,1024,16,20,6.6903,0.018,74.14,0.0226,1.0,0.0036,14000
256,1024,32,20,6.4817,0.031,74.14,0.0241,1.0,0.0036,14000
512,256,1,20,6.2099,0.01,130.32,0.0237,1.0,0.0036,14000
512,256,4,20,6.5117,0.033,130.32,0.0286,1.0,0.0036,14000
512,256,8,20,6.4565,0.066,130.32,0.0341,1.0,0.0036,14000
512,256,16,20,5.777,0.085,130.32,0.0387,1.0,0.0036,14000
512,256,32,20,5.9741,0.122,130.32,0.0393,1.0,0.0036,14000
512,512,1,20,6.0674,0.007,130.82,0.0228,1.0,0.0036,14000
512,512,4,20,5.9222,0.019,130.82,0.0264,1.0,0.0036,14000
512,512,8,20,6.1932,0.037,130.82,0.0311,1.0,0.0036,14000
512,512,16,20,7.6326,0.082,130.82,0.0362,1.0,0.0036,14000
512,512,32,20,6.2076,0.096,130.82,0.0391,1.0,0.0036,14000
512,1024,1,20,7.9247,0.008,131.83,0.0215,0.9999,0.0036,14000
512,1024,4,20,7.1509,0.018,131.83,0.0252,1.0,0.0036,14000
512,1024,8,20,7.0104,0.032,131.83,0.029,1.0,0.0036,14000
512,1024,16,20,8.0479,0.053,131.83,0.0342,1.0,0.0036,14000
512,1024,32,20,6.8189,0.082,131.83,0.0383,1.0,0.0036,14000
1024,256,1,20,6.9087,0.022,244.2,0.0457,1.0,0.0036,14000
1024,256,4,20,7.0943,0.072,244.2,0.0587,1.0,0.0036,14000
1024,256,8,20,6.7816,0.128,244.2,0.0702,1.0,0.0036,14000
1024,256,16,20,6.6075,0.195,244.2,0.0801,1.0,0.0036,14000
1024,256,32,20,6.6133,0.264,244.2,0.0811,1.0,0.0036,14000
1024,512,1,20,6.7609,0.019,245.2,0.0413,1.0,0.0036,14000
1024,512,4,20,7.015,0.056,245.2,0.055,1.0,0.0036,14000
