pca_dim,nlist,nprobe,k,build_time_s,query_time_ms,index_size_mb,vector_recall_at_k,label_precision_at_k_micro,label_recall_at_k_micro,n_query
0,32,1,20,0.618,0.044,117.55,0.2682,1.0,0.0067,3000
0,32,4,20,0.6171,0.159,117.55,0.7896,1.0,0.0067,3000
0,32,8,20,0.7659,0.295,117.55,0.9834,1.0,0.0067,3000
0,32,16,20,0.6419,0.566,117.55,1.0,1.0,0.0067,3000
0,32,32,20,0.6228,1.021,117.55,1.0,1.0,0.0067,3000
0,64,1,20,0.6736,0.025,117.8,0.1587,1.0,0.0067,3000
0,64,4,20,0.6958,0.094,117.8,0.5301,1.0,0.0067,3000
0,64,8,20,0.6862,0.334,117.8,0.8662,1.0,0.0067,3000
0,64,16,20,0.8795,0.303,117.8,0.9931,1.0,0.0067,3000
0,64,32,20,0.681,0.564,117.8,1.0,1.0,0.0067,3000
0,128,1,20,0.7381,0.023,118.3,0.1126,1.0,0.0067,3000
0,128,4,20,0.7264,0.056,118.3,0.3671,1.0,0.0067,3000
0,128,8,20,0.7208,0.107,118.3,0.6156,1.0,0.0067,3000
0,128,16,20,0.6968,0.19,118.3,0.9037,1.0,0.0067,3000
0,128,32,20,0.6826,0.293,118.3,0.9961,1.0,0.0067,3000
0,256,1,20,0.8009,0.01,119.3,0.0819,1.0,0.0067,3000
0,256,4,20,0.7718,0.037,119.3,0.2624,1.0,0.0067,3000
0,256,8,20,0.8215,0.065,119.3,0.4351,1.0,0.0067,3000
0,256,16,20,0.807,0.253,119.3,0.672,1.0,0.0067,3000
0,256,32,20,1.201,0.199,119.3,0.9142,1.0,0.0067,3000
64,32,1,20,5.4466,0.003,20.3,0.0295,1.0,0.0067,3000
64,32,4,20,4.8102,0.003,20.3,0.0339,1.0,0.0067,3000
64,32,8,20,6.0903,0.006,20.3,0.036,1.0,0.0067,3000
64,32,16,20,5.0528,0.009,20.3,0.036,1.0,0.0067,3000
64,32,32,20,4.8262,0.015,20.3,0.036,1.0,0.0067,3000
64,64,1,20,5.0891,0.002,20.31,0.0268,1.0,0.0067,3000
64,64,4,20,5.3407,0.004,20.31,0.0342,1.0,0.0067,3000
64,64,8,20,4.9975,0.003,20.31,0.0358,1.0,0.0067,3000
64,64,16,20,5.4093,0.005,20.31,0.0362,1.0,0.0067,3000
64,64,32,20,5.1537,0.01,20.31,0.036,1.0,0.0067,3000
64,128,1,20,4.9302,0.002,20.32,0.0251,1.0,0.0067,3000
64,128,4,20,5.4795,0.003,20.32,0.0315,1.0,0.0067,3000
64,128,8,20,4.8843,0.003,20.32,0.0341,1.0,0.0067,3000
64,128,16,20,4.7096,0.003,20.32,0.0362,1.0,0.0067,3000
64,128,32,20,5.2466,0.006,20.32,0.0359,1.0,0.0067,3000
64,256,1,20,4.8492,0.002,20.36,0.0236,0.9992,0.0067,3000
64,256,4,20,5.3703,0.002,20.36,0.0315,1.0,0.0067,3000
64,256,8,20,5.5463,0.003,20.36,0.0338,1.0,0.0067,3000
64,256,16,20,5.2972,0.004,20.36,0.036,1.0,0.0067,3000
64,256,32,20,5.264,0.004,20.36,0.036,1.0,0.0067,3000
128,32,1,20,5.1656,0.003,24.47,0.0484,1.0,0.0067,3000
128,32,4,20,4.9503,0.005,24.47,0.0645,1.0,0.0067,3000
128,32,8,20,4.9027,0.009,24.47,0.067,1.0,0.0067,3000
128,32,16,20,5.5536,0.017,24.47,0.0672,1.0,0.0067,3000
128,32,32,20,5.2273,0.031,24.47,0.0672,1.0,0.0067,3000
128,64,1,20,5.05,0.003,24.49,0.0419,1.0,0.0067,3000
128,64,4,20,5.2545,0.004,24.49,0.0582,1.0,0.0067,3000
128,64,8,20,5.5081,0.017,24.49,0.065,1.0,0.0067,3000
128,64,16,20,5.1371,0.009,24.49,0.0672,1.0,0.0067,3000
128,64,32,20,5.0974,0.017,24.49,0.0672,1.0,0.0067,3000
128,128,1,20,5.1754,0.003,24.52,0.0367,0.9998,0.0067,3000
128,128,4,20,5.1771,0.003,24.52,0.0543,1.0,0.0067,3000
128,128,8,20,5.0059,0.004,24.52,0.0605,1.0,0.0067,3000
128,128,16,20,5.2892,0.009,24.52,0.0654,1.0,0.0067,3000
128,128,32,20,4.8955,0.009,24.52,0.0671,1.0,0.0067,3000
128,256,1,20,5.1863,0.002,24.58,0.0321,0.9985,0.0067,3000
128,256,4,20,6.1801,0.007,24.58,0.0501,1.0,0.0067,3000
128,256,8,20,4.9642,0.003,24.58,0.0563,1.0,0.0067,3000
128,256,16,20,4.7809,0.004,24.58,0.0627,1.0,0.0067,3000
128,256,32,20,5.1003,0.008,24.58,0.0665,1.0,0.0067,3000
256,32,1,20,4.8039,0.005,32.81,0.0823,1.0,0.0067,3000
256,32,4,20,4.7467,0.011,32.81,0.1233,1.0,0.0067,3000
256,32,8,20,5.3326,0.017,32.81,0.1315,1.0,0.0067,3000
256,32,16,20,4.94,0.035,32.81,0.132,1.0,0.0067,3000
